"accession","title","published","has_bam","sra_accession"
"GSE283471","The core cellular network modulates immune phenotype switching in hepatitis B",2024-12-04,FALSE,NA
"GSE221199","Single cell transcriptomic profiling of human CD19+ B cells enriched for CD5+ Innate-like B cells",2024-12-03,FALSE,"SRP413490"
"GSE220297","Single-cell transcriptomic analysis reveals transcriptional and cell subpopulation differences between human and pig immune cells",2024-11-30,FALSE,"SRP411810"
"GSE278405","Phenotypic plasticity and increased tissue infiltration of TREM1+ mono-macrophages following radiotherapy in rectal cancer. [RNA-Seq]",2024-11-19,FALSE,NA
"GSE278406","Phenotypic plasticity and increased tissue infiltration of TREM1+ mono-macrophages following radiotherapy in rectal cancer. [scRNA-Seq]",2024-11-19,FALSE,NA
"GSE228759","RSK1 is an exploitable dependency in myeloid malignancies [scRNA-seq]",2024-11-13,FALSE,"SRP430506"
"GSE273017","A novel method for characterizing cell-cell interactions at single-cell resolution reveals unique immune signatures in blood T cell-monocyte complexes during infection (Dengue scRNA-Seq)",2024-11-05,FALSE,NA
"GSE273015","A novel method for characterizing cell-cell interactions at single-cell resolution reveals unique immune signatures in blood T cell-monocyte complexes during infection (ATB scRNA-Seq)",2024-11-05,FALSE,NA
"GSE280147","Gene expression profile of patient with biallelic BRF2 mutation",2024-11-04,FALSE,NA
"GSE253568","Regulatory T cells and IFN-γ-producing Th1 cells play a critical role in the pathogenesis of Sjögren’s Syndrome",2024-11-03,FALSE,"SRP484553"
"GSE280632","3D hydrogel culture system for generation of fibrosis-associated macrophages",2024-11-02,FALSE,"SRP541926"
"GSE274826","Hyperglycemia-triggered lipid peroxidation destabilizes STAT4 and impairs anti-viral Th1 responses in type 2 diabetes",2024-11-01,FALSE,"SRP526400"
"GSE280401","Deciphering the Transcriptomic Landscape of Type 2 Diabetes: Insights from Bulk RNA Sequencing and Single-Cell Analysis [scRNA-seq]",2024-10-29,FALSE,"SRP541456"
"GSE280402","Deciphering the Transcriptomic Landscape of Type 2 Diabetes: Insights from Bulk RNA Sequencing and Single-Cell Analysis [RNA-seq]",2024-10-29,FALSE,"SRP541458"
"GSE273224","Development of activation-induced marker assay to identify HCV-specific T cells for single-cell RNA-seq analysis.",2024-10-29,FALSE,"SRP522492"
"GSE273350","MobiChIP: a compatible library construction method of single-cell ChIP-seq based droplets",2024-10-26,FALSE,"SRP522831"
"GSE279945","OP3: single-cell multimodal dataset in PBMCs for perturbation prediction benchmarking",2024-10-21,FALSE,NA
"GSE252724","Tissue-resident memory T cells drive CD103-dependent salivary gland inflammatory infiltration in primary Sjogren's syndrome",2024-10-14,FALSE,"SRP482593"
"GSE234359","ATLAS-seq: a microfluidic single-cell TCR screen for antigen-reactive TCRs",2024-10-10,FALSE,"SRP441663"
"GSE223138","Single-cell RNA sequencing reveals peripheral immunological responses and cell-specific biomarker in patients with Parkinson’s disease",2024-10-08,FALSE,"SRP418115"
"GSE254542","T-lymphocyte recruitment and retention in lichen planus",2024-10-02,FALSE,"SRP486758"
"GSE249584","Single cell transcriptomics in blood of patients with chronic obstructive pulmonary disease",2024-09-30,FALSE,"SRP476406"
"GSE226896","Immune profiles of human cells",2024-09-12,FALSE,"SRP426204"
"GSE233522","Clonal landscape of autoantibody-secreting plasmablasts in COVID-19 patients",2024-09-10,FALSE,"SRP439730"
"GSE253497","Selenium supplementation induces changes in body composition, increases CD4+ T cells frequency and is associated with the expression of genes responsible of naïve and memory CD8+ T cells function on treated HIV-infected individuals.",2024-09-05,FALSE,"SRP484275"
"GSE244180","Degradation of Ikaros prevents epigenetic progression of T cell exhaustion in novel antigen-specific assay [scRNA-seq]",2024-09-01,FALSE,"SRP463550"
"GSE239592","Serial mRNA profiling of peripheral blood monocytes from PAH patients treated with phosphodiesterase 5 inhibitors (PDE5i) and PDE5i+macitentan",2024-08-31,FALSE,"SRP452080"
"GSE242780","Single-cell RNA sequencing analysis of peripheral blood mononuclear cells in PD-1-induced renal toxicity in patients with lung cancer",2024-08-30,FALSE,"SRP459373"
"GSE216064","scRNA-seq for analyzing the characteristics of PBMC in patients with autoimmune hepatitis",2024-08-25,FALSE,"SRP403429"
"GSE248728","BCG vaccination impacts the epigenetic landscape of progenitor cells in human bone marrow (scRNA-Seq)",2024-08-20,FALSE,"SRP474474"
"GSE274561","Gene expression profile at single cell level of PBMC from HFD/STZ-induced type 2 diabetic mice",2024-08-14,FALSE,"SRP526273"
"GSE210433","TET2 Mutant Clonal Hematopoiesis Enhances Severity of COVID-19 Related Cytokine Release Syndrome and is Associated with Increased Mortality [scRNA-seq]",2024-08-13,FALSE,"SRP389703"
"GSE273170","Baseline Immune State and T cell Clonal Kinetics are Associated with Response to CAR-T Therapy in Large B-cell Lymphoma",2024-08-11,FALSE,NA
"GSE210395","Mapping the heterogeneity of pDCs and Monocytes of systemic sclerosis at single cell level [scRNA-seq]",2024-08-09,FALSE,"SRP389629"
"GSE274381","The significance of CD16+ monocytes in the occurrence and development of Chronic Thromboembolic Pulmonary Hypertension: insights from single-cell RNA sequencing",2024-08-09,FALSE,"SRP525323"
"GSE255381","Gene expression profile at single cell level of T cells from PBMC",2024-08-07,FALSE,"SRP488986"
"GSE244793","AS01-adjuvanted vaccine promotes functional and epigenetic modifications in monocytes [scRNA-seq]",2024-07-30,FALSE,NA
"GSE256291","Comparing transcriptional profiles of CD14+  monocytes from melanoma patients and healthy donors by scRNA-seq.",2024-07-18,FALSE,"SRP490860"
"GSE237790","Novel Long Noncoding RNA HEAT4 Affects Monocyte Subtypes, Reducing Inflammation and Promoting Vascular Healing [scRNA-seq]",2024-07-14,FALSE,"SRP450426"
"GSE267644","Novel Long Noncoding RNA HEAT4 Affects Monocyte Subtypes, Reducing Inflammation and Promoting Vascular Healing [scRNA-seq HF]",2024-07-14,FALSE,"SRP508088"
"GSE156459","RNA-sequencing of peripheral blood in FOP patients",2024-06-30,FALSE,"SRP278064"
"GSE156464","Single cell RNA-sequencing of PBMCs in FOP patients",2024-06-30,FALSE,"SRP278067"
"GSE233290","Biomimetic Cell Stimulation with Graphene Oxide Antigen Presenting Platform (GO-APP) for Developing T Cell-Based Therapies [scRNA-Seq]",2024-06-30,FALSE,"SRP439570"
"GSE257541","Cellular dynamics of pig-to-human kdiney xenotransplantation [RNA-seq]",2024-06-29,FALSE,"SRP491593"
"GSE257542","Cellular dynamics of pig-to-human kdiney xenotransplantation [single cell RNA-seq]",2024-06-29,FALSE,"SRP491592"
"GSE218131","Oligoclonal CD4+CXCR5+ T cells with a cytotoxic phenotype in tonsils and blood",2024-06-23,FALSE,NA
"GSE228597","Immunologic drivers of immune checkpoint inhibitor therapy myocarditis, fatality and anti-tumor response in cancer patients",2024-06-21,FALSE,NA
"GSE266541","Gene expression profile at single cell level of primary regulatory T cells(CD25+CD127- Treg), primary induced regulatory T cells(iTreg), and AMRT treated iPSC-derived CD4+ T cells (iCD4+Treg-like)",2024-06-15,FALSE,"SRP505580"
"GSE268210","Single-cell analysis of human PBMCs in healthy and type 2 diabetes populations: Dysregulated immune networks in type 2 diabetes unveiled through single-cell profiling",2024-06-11,FALSE,"SRP509449"
"GSE253963","Single-cell transcriptomic reveals heterogeneous feature of myeloid-derived suppressor cells in newborns",2024-06-05,FALSE,"SRP485398"
"GSE267869","Single-cell RNA-sequencing of human cytomegalovirus-infected humanized mice",2024-05-19,FALSE,"SRP508693"
"GSE233844","Single-cell profiling reveals immune aberrations in progressive idiopathic pulmonary fibrosis",2024-05-08,FALSE,"SRP440530"
"GSE263256","FOXO1 enhances CAR T cell stemness, metabolic fitness and efficacy [human_FOXO1_scRNAseq]",2024-05-07,FALSE,"SRP499847"
"GSE253762","Deep sequencing after alcelaphine gammaherpesvirus 1 infection reveals the nature of CD8+ T cell expansion and identify an essential viral protein for fatal bovine malignant catarrhal fever [scRNA-seq]",2024-04-30,FALSE,"SRP484815"
"GSE261424","Lin-CD117+CD34+FceRI+ progenitor cells are increased in chronic spontaneous urticaria and predict clinical responsiveness to anti-IgE therapy",2024-04-29,FALSE,"SRP494825"
"GSE190564","Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis -  whole tissue scRNA-Seq",2024-04-11,FALSE,"SRP350018"
"GSE262355","Programmable transcript-specific enrichment for single-cell sequencing enables profiling of rare cell states",2024-03-25,FALSE,"SRP497622"
"GSE246624","Comparative analysis of single-cell RNA sequencing methods with and without sample multiplexing",2024-03-23,FALSE,"SRP469371"
"GSE235604","Single-cell transcriptome and TCR analysis of human Cytomegalovirus (hCMV)-specific T cell memory reveals effector and pre-effectors of CD8+ and CD4+ cytotoxic T cells",2024-03-19,FALSE,"SRP445410"
"GSE261140","Gene regulatory basis of bystander activation in CD8+ T cells (human scRNA-seq)",2024-03-10,FALSE,"SRP494027"
"GSE247126","Single-cell RNA-Seq of porcine peripheral blood monocytes",2024-03-06,FALSE,"SRP470404"
"GSE248284","A single cell atlas of circulating immune cells involved in diabetic retinopathy",2024-02-13,FALSE,"SRP473106"
"GSE206298","Colitis associated with immune checkpoint inhibitors [blood_cells]",2024-02-09,FALSE,NA
"GSE254301","Single-cell transcriptome analysis reveals effector CD8+ T cells may play an important role in residual chronic immune activation and inflammation in HIV-1 infected patients",2024-01-30,FALSE,"SRP486135"
"GSE228688","Pro-inflammatory feedback loops define immune responses to pathogenic lentivirus infection",2024-01-16,FALSE,"SRP430415"
"GSE214283","Single-cell transcriptomics of the immune system in ME/CFS at baseline and following symptom provocation",2024-01-15,FALSE,"SRP399879"
"GSE244870","TGF-beta blockade drives a transitional effector phenotype in T cells reversing SIV latency and decreasing SIV reservoirs in vivo [scRNA-seq]",2024-01-07,FALSE,"SRP465012"
"GSE218310","scGR-seq: simulatenous profiling of glycomic and transcriptomic in single cell [scRNA-Seq]",2024-01-03,FALSE,"SRP408599"
"GSE226572","Single-cell RNA-sequencing of PBMCs from SAVI patients reveals disease-associated monocytes with elevated integrated stress response I",2023-12-31,FALSE,"SRP425536"
"GSE244663","HA-1-targeted T cell receptor (TCR) T cell therapy for recurrent leukemia after hematopoietic stem cell transplantation: results from a phase I clinical trial.",2023-12-31,FALSE,"SRP464545"
"GSE226598","Single-cell RNA-sequencing of PBMCs from SAVI patients reveals disease-associated monocytes with elevated integrated stress response II",2023-12-31,FALSE,"SRP425539"
"GSE244589","Multiomic Profiling Reveals Metabolic Alterations Mediating Aberrant Platelet Activity and Inflammation in Myeloproliferative Neoplasms [scRNA-Seq]",2023-12-31,FALSE,"SRP464411"
"GSE239501","Monocytes in Type 1 diabetes families exhibit high cytolytic activity and subset abundances that correlate with clinical progression",2023-12-31,FALSE,"SRP451950"
"GSE229173","Comparative analysis of peripheral blood immunoinflammatory landscapes in patients with acute cholangitis and its secondary septic shock using single-cell RNA sequencing",2023-12-31,FALSE,"SRP431477"
"GSE232131","T-cell instructed monocyte activation is a key pathological feature in Ankylosing Spondylitis and provides novel therapeutic opportunities",2023-12-31,FALSE,"SRP436827"
"GSE244515","Uncovering systemic immunological modification by type 2 diabetes mellitus in periodontitis patients via single-cell RNA analysis",2023-12-19,FALSE,"SRP464287"
"GSE229856","Characterization of CD8+ T cells in immune-privileged organs of ZIKV-infected Ifnar1-/- mice",2023-12-10,FALSE,"SRP432948"
"GSE237780","Generation of antigen-specific mature T cells from RAG1−/−RAG2−/−B2M−/− stem cells by engineering their microenvironment",2023-12-06,FALSE,"SRP450520"
"GSE248788","Discovering Molecular Signatures in ATMR: Single-cell RNA Sequencing Analysis of Human Blood and Tissue Spatial Transcriptomics [scRNA-seq]",2023-12-02,FALSE,"SRP474789"
"GSE248787","Discovering Molecular Signatures in ATMR: Single-cell RNA Sequencing Analysis of Human Blood and Tissue Spatial Transcriptomics [Spatial Transcriptomics]",2023-12-02,FALSE,"SRP474738"
"GSE243665","A single cell RNAseq benchmark experiment embedding ""controlled"" cancer heterogeneity",2023-12-01,FALSE,"SRP462078"
"GSE226557","The SENSE (Simple prEservatioN of Single cElls) method for cryopreservation enables the generation of single-cell immune profiles from whole blood.",2023-11-27,FALSE,NA
"GSE236099","Identifying immune signatures of sepsis in very preterm babies",2023-11-22,FALSE,"SRP446490"
"GSE197543","Single-cell characterization of human glioblastoma reveals regional differences in tumor-infiltrating leukocyte activation",2023-11-20,FALSE,NA
"GSE247277","Distinct baseline immune characteristics associated with responses to conjugated and unconjugated pneumococcal polysaccharide vaccines in older adults [scRNA-seq]",2023-11-07,FALSE,NA
"GSE235499","Enhancing sensitivity and versatility of Tn5-based single cell omics II",2023-11-07,FALSE,NA
"GSE235502","Enhancing sensitivity and versatility of Tn5-based single cell omics IV",2023-11-07,FALSE,NA
"GSE235501","Enhancing sensitivity and versatility of Tn5-based single cell omics III",2023-11-07,FALSE,NA
"GSE231794","Single-Cell Transcriptomics Reveals Peripheral Immune Responses in Non-Segmental Vitiligo",2023-11-06,FALSE,"SRP436189"
"GSE187438","Factors contributing to Chimeric Antigen Receptor T-cell Therapy efficacy in pediatric oncology patients",2023-11-01,FALSE,"SRP344391"
"GSE215915","Multiomic chromatin accessibility and gene expression in peripheral blood predicts future decompensation in hospitalized adults with COVID-19",2023-10-16,FALSE,"SRP403053"
"GSE237254","Early-to-mid stage idiopathic Parkinson’s disease shows enhanced cytotoxicity and differentiation in CD8 T-cells in females",2023-10-12,FALSE,"SRP449333"
"GSE239799","Single-cell mulitome (paired scRNA-seq + scATAC-seq) analysis of PBMCs from infants and young children during COVID-19 infection",2023-10-11,FALSE,"SRP452618"
"GSE237579","Dendritic Cell Vaccination in Conjunction with TLR Agonist Polarizes Interferon Immune Responses Associated with Long-term Survival in Malignant Glioma Patients [scRNA-seq]",2023-10-10,FALSE,"SRP449942"
"GSE237562","Dendritic Cell Vaccination in Conjunction with TLR Agonist Polarizes Interferon Immune Responses Associated with Long-term Survival in Malignant Glioma Patients [Bulk RNA-seq]",2023-10-10,FALSE,"SRP449924"
"GSE189050","Molecular Dissection of Disease Heterogeneity in SLE",2023-10-10,FALSE,"SRP346610"
"GSE239626","CITE-seq reveals inhibition of NF-kB pathway in B cells from vitamin D-treated multiple sclerosis patients",2023-10-04,FALSE,"SRP452470"
"GSE241834","COSMOS: A Platform for real-time morphology-based, label-free cell sorting using deep learning (scRNA-Seq)",2023-09-24,FALSE,"SRP457334"
"GSE243629","A single-cell atlas of the peripheral immune response in patients with influenza A virus infection",2023-09-20,FALSE,"SRP462008"
"GSE239909","Single-cell epigenetic, transcriptional, and protein states of HIV-1-infected cells [scRNA-seq]",2023-09-19,FALSE,"SRP452999"
"GSE212479","Single-cell multi-omics sequencing reveals the functional regulatory landscape of STAT3-V637M Hyper-IgE syndrome",2023-09-06,FALSE,NA
"GSE235857","Single-cell transcriptomic profiling reveals immune cell heterogeneity in acute myeloid leukaemia peripheral blood mononuclear cells after chemotherapy",2023-08-30,FALSE,NA
"GSE227166","KSHV uses viral IL6 to expand infected immunosuppressive macrophages (scRNA-seq)",2023-08-29,FALSE,"SRP426842"
"GSE223704","Standard and targeted single-cell transcriptomics of CD8+ T cell samples and targeted single-cell transcriptomics of B cell samples for systematic analysis",2023-08-25,FALSE,NA
"GSE231977","­­Rapid TCR:Epitope Ranker (RAPTER): A primary human T cell reactivity screening assay pairing epitope and TCR at single cell resolution",2023-08-24,FALSE,"SRP436497"
"GSE235080","Immune surveillance of acute myeloid leukemia is mediated by HLA-presented antigens on leukemia progenitor cells",2023-08-22,FALSE,"SRP444300"
"GSE237239","Single-Cell Transcriptome Analysis of Acute Myeloid  Leukemia Cells Using Methanol Fixation and Cryopreservation",2023-08-16,FALSE,"SRP449308"
"GSE232917","Single cell RNA sequencing of sorted NK, CD8+ T, γδ T, and KIR3DL3+ cells from PBMC",2023-08-07,FALSE,"SRP438677"
"GSE239750","Integrated BATF transcriptional network regulates suppressive intratumoral regulatory T cells",2023-08-02,FALSE,"SRP452514"
"GSE214865","Single-cell RNAseq uncovers cellular heterogeneity and provides a signature for pediatric sleep apnea",2023-08-02,FALSE,"SRP401181"
"GSE218936","Single Cell Analysis Identifies Conserved Features of Immune Dysfunction in Simulated Microgravity and Spaceflight [scRNA-Seq]",2023-07-31,FALSE,NA
"GSE217010","Identification of human exTregs as CD16+CD56+ cytotoxic CD4+ T cells.",2023-07-24,FALSE,"SRP405675"
"GSE216599","Glycyrrhizic Acid Inhibits Myeloid Differentiation of Hematopoietic Stem Cells and Improves Cognition in Aged Mice by Binding to the S100 Calcium-Binding Protein A8 [scRNA-seq]",2023-07-13,FALSE,"SRP404639"
"GSE215219","A Th1-like CD4+ T-cell Cluster that Predicts Disease-free Survival in Early-Stage Lung Cancer",2023-07-04,FALSE,"SRP401977"
"GSE235527","Young bone marrows transplantation rejuvenates immune cells, attenuate cerebral Aβ accumulation and related pathologies in Alzheimer’s disease model mouse",2023-06-26,FALSE,"SRP445271"
"GSE235050","scRNA-seq characterization of immune cell types among individuals with or without Long COVID",2023-06-18,FALSE,"SRP444292"
"GSE228763","Gene expression profile at single cell level of virus-specific CD8+ T cells in subjects with past or current HCV infection.",2023-06-07,FALSE,"SRP430510"
"GSE217561","Single-Cell RNA sequencing reveals blood immune features of gout remission patients with monosodium urate crystal deposition.",2023-05-31,FALSE,"SRP406906"
"GSE194028","Systematic benchmarking of single-cell ATAC sequencing protocols",2023-05-21,FALSE,"SRP355864"
"GSE220188","Mapping disease-associated regulatory circuits by cell type from single-cell multiomics data (S. aureus scATAC-seq)",2023-05-18,FALSE,"SRP411629"
"GSE222548","Mapping disease-associated regulatory circuits by cell type from single-cell multiomics data (COVID-19 scATAC-seq)",2023-05-18,FALSE,NA
"GSE220189","Mapping disease-associated regulatory circuits by cell type from single-cell multiomics data (S. aureus scRNA-seq)",2023-05-18,FALSE,"SRP411630"
"GSE232186","Single cell transcriptomics reveals cell type specific features of developmentally regulated responses to lipopolysaccharide between birth and 5 years",2023-05-17,FALSE,NA
"GSE207475","Transcriptomic profile at single cell level of Age-associated B cells (ABCs) from individuals with different health conditions",2023-04-16,FALSE,"SRP385336"
"GSE207633","Single-cell RNA-Seq resolves phenotypically heterogeneous subtypes in systemic juvenile idiopathic arthritis (SJIA)",2023-04-11,FALSE,NA
"GSE224445","Discovery of cellular and genetic signatures of immune tolerance in kidney transplant recipients through single cell RNA sequencing analysis",2023-04-11,FALSE,"SRP420859"
"GSE218207","RevGel-seq: instrument-free single-cell RNA sequencing using a reversible hydrogel for cell-specific barcoding [PBMC_perf_Scipio]",2023-03-28,FALSE,"SRP408439"
"GSE218208","RevGel-seq: instrument-free single-cell RNA sequencing using a reversible hydrogel for cell-specific barcoding [PBMC_perf_10X]",2023-03-28,FALSE,"SRP408438"
"GSE218355","Canine peripheral blood TCRαβ T cell atlas: Identification of diverse subsets including CD8+ MAIT-like cells by combined single-cell transcriptome and V(D)J repertoire analysis",2023-02-28,FALSE,"SRP408663"
"GSE194072","Re-generation of cytotoxic γδT cells with distinctive signatures from human γδT-derived iPSCs",2023-02-23,FALSE,"SRP355983"
"GSE205607","Single-cell RNA-seq analysis identifies distinct myeloid cells in COVID19 vaccination- associated encephalitis (set 2)",2023-02-19,FALSE,"SRP378917"
"GSE205606","Single-cell RNA-seq analysis identifies distinct myeloid cells in COVID19 vaccination- associated encephalitis (set 1)",2023-02-19,FALSE,"SRP378915"
"GSE201704","Oligoclonal T-cell expansion in a patient with bone marrow failure after CD19 CAR-T for Richter transformed DLBCL",2023-01-28,FALSE,"SRP372517"
"GSE220969","Global and cell type-specific immunological hallmarks of severe dengue progression",2023-01-15,FALSE,"SRP413084"
"GSE216488","Human IRF1 governs phagocytic IFN-γ immunity to mycobacteria but not cell-intrinsic IFN-a/b immunity to viruses [CITEseq]",2023-01-11,FALSE,"SRP404459"
"GSE216486","Human IRF1 governs phagocytic IFN-γ immunity to mycobacteria but not cell-intrinsic IFN-a/b immunity to viruses [scRNAseq]",2023-01-11,FALSE,"SRP404414"
"GSE211783","Single-cell RNA sequencing of human peripheral blood mononuclear cells reveals distinct immune response in gout flare and remission",2022-12-31,FALSE,"SRP394197"
"GSE206295","Single-cell RNA sequencing reveals the molecular features of peripheral blood immune cells in children, adults and centenarians",2022-12-29,FALSE,NA
"GSE203098","BCG-activation of lymphocytes for the generation of donor-independent innate anti-tumor NK and γδ T cells",2022-12-27,FALSE,"SRP375377"
"GSE171374","Chronic kidney disease is characterized by expansion of pro-inflammatory, HLA-DR-high intermediate monocytes and by increased monocyte adhesion to endothelial cells",2022-12-14,FALSE,"SRP313223"
"GSE212996","Engineered cell entry links receptor biology with single-cell genomics [scRNA-Seq]",2022-12-11,FALSE,"SRP396410"
"GSE205704","PRMT5 Promotes Progression of Chronic Lymphocytic Leukemia [scRNA-seq and scVDJ-seq]",2022-12-06,FALSE,"SRP379185"
"GSE208161","Randomized phase-1 trial of antigen-specific tolerizing immunotherapy with peptide/calcitriol liposomes in ACPA+ rheumatoid arthritis",2022-12-04,FALSE,"SRP386326"
"GSE217868","Gene expression profile at single cell level of periheral blood mono-nucleus cells (PBMC) in response to bacterial protein (PFOR) stimulation",2022-11-30,FALSE,"SRP407648"
"GSE216731","LN-stem, tumor stem, tumor terminally differentiated CD8 T cells from human kidney cancer",2022-11-02,FALSE,"SRP404930"
"GSE215938","Gene expression profile at single cell level of PBMC from a CID patient (P) caused by IRF4 p.T95R heterozygous mutation and an age-matched healthy control (HC)",2022-10-23,FALSE,"SRP403066"
"GSE215428","Single-cell RNA sequencing of immune landscape in hepatocellular carcinoma treated with sintilimab and sorafenib",2022-10-16,FALSE,"SRP402452"
"GSE215451","Single cell RNA Sequencing (scRNA-Seq) of patient with ARPC5 deficiency and healthy control",2022-10-15,FALSE,"SRP402506"
"GSE215125","HIV specific CD8+ Trm-like cells in tonsils express exhaustive signatures in the absence of natural HIV control [Seqwell]",2022-10-11,FALSE,NA
"GSE180094","scRNA-seq of antigen-specific CD8+ T cells from tumor draining LN, TIL and PBMC of melanoma bearing mice",2022-10-09,FALSE,"SRP328315"
"GSE181543","Comprehensive multi-omics single-cell data integration reveals greater heterogeneity in the human immune system",2022-10-04,FALSE,"SRP331261"
"GSE214633","A flexible model for correlated count data, with application to analysis of gene expression differences in multi-condition experiments",2022-10-04,FALSE,"SRP400699"
"GSE214240","Progenitor like cell type of an MLL-EDC4 fusion in acute myeloid leukemia",2022-09-28,FALSE,NA
"GSE213282","Titration of 124 antibodies using CITE-Seq on human PBMCs",2022-09-17,FALSE,"SRP396978"
"GSE200083","Single cell transcriptional profile of SC-islet grafts in an in vivo humanized model [scRNA-seq_invivo]",2022-08-31,FALSE,"SRP367369"
"GSE200084","Immune challenged SC-islets first response profiled by single cell transcription analysis after co-culture with human allogeneic PBMCs [scRNA-seq_invitro]",2022-08-31,FALSE,"SRP367368"
"GSE211803","The immunogenicity of human kidney organoids",2022-08-24,FALSE,"SRP393442"
"GSE196388","Porcine intestinal innate lymphoid cells and lymphocyte spatial context revealed through single-cell RNA sequencing",2022-08-18,FALSE,NA
"GSE210132","The NALCN channel regulates metastasis and non-malignant cell dissemination (scRNA-Seq)",2022-08-05,FALSE,"SRP388900"
"GSE142503","ScRNA-seq analysis and functional characterization of myeloid lincRNAs differentially expressed during COVID-19",2022-08-02,FALSE,"SRP238517"
"GSE208337","Elevated Myl9 reflects the Myl9-containing microthrombi in SARS-CoV-2-induced exudative vasculitis and predicts COVID-19 severity",2022-07-20,FALSE,"SRP386774"
"GSE180045","Identification of Pathogenic Immune Cell Subsets in Checkpoint Inhibitor-induced Myocarditis",2022-06-28,FALSE,"SRP328212"
"GSE202548","Activated-memory T cells influence naïve T cell fate: A non-cytotoxic function of human CD8 T cells",2022-06-28,FALSE,"SRP374358"
"GSE178429","Multi-omics gene regulatory network analysis of resting and stimulated PBMCs [stimulation scRNA-seq]",2022-06-19,FALSE,"SRP324544"
"GSE178428","Multi-omics gene regulatory network analysis of resting and stimulated PBMCs [scATAC-seq]",2022-06-19,FALSE,"SRP324531"
"GSE178430","Multi-omics gene regulatory network analysis of resting and stimulated PBMCs [PBMC isolate scRNA-seq]",2022-06-19,FALSE,"SRP324543"
"GSE206283","Differential chromatin accessibility in peripheral blood mononuclear cells underlies COVID-19 disease severity prior to seroconversion [scRNA-Seq]",2022-06-18,FALSE,"SRP382068"
"GSE169441","Immune responses to Coronavirus disease-19 with Thymosin α 1 intervention: an observational cohort study",2022-06-07,FALSE,"SRP311819"
"GSE185856","Single-cell analysis implicates Th17 to Th2 cell plasticity in the pathogenesis of palmoplantar pustulosis [RNA-Seq]",2022-05-30,FALSE,"SRP341239"
"GSE185857","Single-cell analysis implicates Th17 to Th2 cell plasticity in the pathogenesis of palmoplantar pustulosis [scRNA-Seq]",2022-05-30,FALSE,"SRP341415"
"GSE197452","Single cell RNA-seq by mostly-natural sequencing by synthesis",2022-05-30,FALSE,"SRP361502"
"GSE204688","Gene expression profile at single cell level of two TDT patients' PBMCs after gene editing treatment.",2022-05-28,FALSE,NA
"GSE203406","Proximal tubule cells in blood and urine have potential as biomarkers for kidney disease biopsies",2022-05-22,FALSE,"SRP376181"
"GSE201534","Heterologous ChAdOx1-BNT162b2 vaccination in a Korean cohort induces a robust genetic immune and antibody response that includes Omicron [scRNA-seq]",2022-05-19,FALSE,"SRP372296"
"GSE201533","Heterologous ChAdOx1-BNT162b2 vaccination in a Korean cohort induces a robust genetic immune and antibody response that includes Omicron [RNA_seq]",2022-05-19,FALSE,"SRP372293"
"GSE180697","A dynamic single cell-based framework for digital twins to prioritize disease genes and drug targets",2022-04-11,FALSE,"SRP329601"
"GSE179886","Endothelial-immune crosstalk contributes to vasculopathy in nonalcoholic fatty liver disease",2022-04-10,FALSE,"SRP327859"
"GSE196735","Single-cell eQTL mapping identifies cell type specific genetic control of autoimmune disease [scRNAseq_data]",2022-04-07,FALSE,"SRP359840"
"GSE195956","WAT3R: Recovery of T-Cell Receptor Variable Regions From 3’ Single-Cell RNA-Sequencing",2022-04-07,FALSE,"SRP357799"
"GSE196829","Single-cell eQTL mapping identifies cell type specific genetic control of autoimmune disease [Genotype_data]",2022-04-07,FALSE,NA
"GSE200107","Single-Cell immunoprofiling after immunotherapy for allergic rhinitis reveals functional suppression of pathogenic Th2 cells and clonal conversion",2022-04-06,FALSE,"SRP367445"
"GSE198528","Enhanced recovery of single-cell RNA-sequencing reads for missing gene expression data",2022-04-04,FALSE,"SRP363859"
"GSE197778","Single-cell RNA sequencing of metastatic testicular seminoma reveals the cellular and molecular characteristics of metastatic cell lineage",2022-03-24,FALSE,"SRP362212"
"GSE195965","Single-cell sequencing of mouse peripheral blood mononuclear cells",2022-02-09,FALSE,"SRP357833"
"GSE166245","Single-cell RNA analyses of cattle PBMC",2022-01-31,FALSE,"SRP304880"
"GSE188620","Next Generation Sequencing Facilitates Quantitative Analysis of Transcriptomes and TCR repertoire in vaccinated PBMCs and tumors",2022-01-31,FALSE,"SRP345641"
"GSE189126","T cell characteristics associated with toxicity to immune checkpoint blockade in patients with melanoma [BCR and TCR scRNA-Seq]",2022-01-12,FALSE,NA
"GSE189125","T cell characteristics associated with toxicity to immune checkpoint blockade in patients with melanoma [scRNA-Seq]",2022-01-12,FALSE,NA
"GSE190329","Single-cell Transcriptome Analysis of Chronic Antibody-mediated Rejection after Renal Transplantation",2022-01-11,FALSE,"SRP386500"
"GSE192708","Well-paired-seq: a Size-exclusion and Locally Quasi-static Hydrodynamic Microwell Chip for Single-cell RNA-seq",2022-01-03,FALSE,"SRP352734"
"GSE167377","From nasal to basal: Single-cell sequence illustrates the winding infection route for IBDV and its influence on bursal cells",2021-12-22,FALSE,"SRP307805"
"GSE190510","Single-cell transcriptomics reveals peripheral immune responses in anti-synthetase syndrome-associated interstitial lung disease",2021-12-09,FALSE,"SRP349890"
